CustomerID,Recency,Frequency,Monetary,AvgTransactionValue,TotalItems,AvgBasketSize,UniqueProducts,CustomerLifetime,PurchaseRate,FirstPurchase,LastPurchase,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,CLV_Estimate,Cluster,Segment_Name
12346.0,326,1,77183.6,77183.6,74215,74215.0,1,0,1.0,2011-01-18 10:01:00,2011-01-18 10:01:00,1,1,5,7,115,28172014.000000004,2,At Risk
12347.0,2,7,4310.0,615.7142857142857,2458,351.14285714285717,103,365,0.019178082191780823,2010-12-07 14:57:00,2011-12-07 15:52:00,5,5,5,15,555,4310.0,5,Champions
12349.0,19,1,1457.5500000000002,1457.5500000000002,630,630.0,72,0,1.0,2011-11-21 09:51:00,2011-11-21 09:51:00,4,1,4,9,414,532005.7500000001,0,Promising
12350.0,310,1,294.40000000000003,294.40000000000003,196,196.0,16,0,1.0,2011-02-02 16:01:00,2011-02-02 16:01:00,1,1,2,4,112,107456.00000000001,0,Promising
12352.0,36,7,1385.74,197.96285714285713,526,75.14285714285714,57,260,0.026923076923076925,2011-02-16 12:33:00,2011-11-03 14:37:00,3,5,4,12,354,1945.3657692307693,0,Promising
12353.0,204,1,89.0,89.0,20,20.0,4,0,1.0,2011-05-19 17:47:00,2011-05-19 17:47:00,1,1,1,3,111,32485.0,0,Promising
12354.0,232,1,1079.4,1079.4,530,530.0,58,0,1.0,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1,4,6,114,393981.00000000006,0,Promising
12355.0,214,1,459.4,459.4,240,240.0,13,0,1.0,2011-05-09 13:49:00,2011-05-09 13:49:00,1,1,2,4,112,167681.0,0,Promising
12356.0,23,3,2487.43,829.1433333333333,1573,524.3333333333334,52,302,0.009933774834437087,2011-01-18 09:50:00,2011-11-17 08:40:00,4,3,5,12,435,3006.330960264901,0,Promising
12357.0,33,1,6207.67,6207.67,2708,2708.0,131,0,1.0,2011-11-06 16:07:00,2011-11-06 16:07:00,4,1,5,10,415,2265799.55,5,Champions
12358.0,2,2,928.06,464.03,242,121.0,12,149,0.013422818791946308,2011-07-12 10:04:00,2011-12-08 10:26:00,5,2,4,11,524,2273.435570469798,0,Promising
12360.0,52,3,2302.059999999999,767.353333333333,1156,385.3333333333333,104,148,0.02027027027027027,2011-05-23 09:43:00,2011-10-18 15:22:00,3,3,5,11,335,5677.377702702701,0,Promising
12361.0,287,1,174.89999999999998,174.89999999999998,90,90.0,9,0,1.0,2011-02-25 13:51:00,2011-02-25 13:51:00,1,1,1,3,111,63838.49999999999,0,Promising
12362.0,3,10,4737.23,473.72299999999996,2197,219.7,200,292,0.03424657534246575,2011-02-17 10:30:00,2011-12-06 15:40:00,5,5,5,15,555,5921.537499999999,5,Champions
12363.0,110,2,552.0,276.0,408,204.0,23,132,0.015151515151515152,2011-04-11 13:29:00,2011-08-22 10:18:00,2,2,3,7,223,1526.3636363636363,0,Promising
12364.0,8,4,1208.1,302.025,1499,374.75,69,104,0.038461538461538464,2011-08-19 15:24:00,2011-12-02 10:22:00,5,4,4,13,544,4239.966346153846,0,Promising
12370.0,358,1,157.2,157.2,48,48.0,7,0,1.0,2010-12-17 09:38:00,2010-12-17 09:38:00,1,1,1,3,111,57377.99999999999,0,Promising
12371.0,60,1,1527.96,1527.96,582,582.0,62,0,1.0,2011-10-11 10:43:00,2011-10-11 10:43:00,3,1,4,8,314,557705.4,0,Promising
12373.0,311,1,324.6,324.6,196,196.0,13,0,1.0,2011-02-01 13:10:00,2011-02-01 13:10:00,1,1,2,4,112,118479.00000000001,0,Promising
