support,itemsets,length
0.1181911060923805,frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),1
0.02457385599827929,frozenset({'KNITTED UNION FLAG HOT WATER BOTTLE'}),1
0.022691832015916544,frozenset({'RED WOOLLY HOTTIE WHITE HEART.'}),1
0.020164542668172285,frozenset({'SET 7 BABUSHKA NESTING BOXES'}),1
0.016077862020756038,frozenset({'WHITE METAL LANTERN'}),1
0.015056191858901974,frozenset({'CREAM CUPID HEARTS COAT HANGER'}),1
0.025756842501478732,frozenset({'HAND WARMER UNION JACK'}),1
0.07694789482174544,frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),1
0.041081894929289674,frozenset({'HOME BUILDING BLOCK WORD'}),1
0.03328493843092972,frozenset({'LOVE BUILDING BLOCK WORD'}),1
0.030918965424530837,frozenset({'DOORMAT NEW ENGLAND'}),1
0.023444641608861644,frozenset({'FELTCRAFT PRINCESS CHARLOTTE DOLL'}),1
0.022853148357261925,"frozenset({""POPPY'S PLAYHOUSE KITCHEN""})",1
0.02220788299188041,"frozenset({""POPPY'S PLAYHOUSE BEDROOM""})",1
0.01381943324192074,frozenset({'BOX OF VINTAGE ALPHABET BLOCKS'}),1
0.011722320804430822,frozenset({'BOX OF VINTAGE JIGSAW BLOCKS'}),1
0.01107705543904931,frozenset({'BOX OF 6 ASSORTED COLOUR TEASPOONS'}),1
0.05850405979459052,frozenset({'JAM MAKING SET WITH JARS'}),1
0.014142065924611497,frozenset({'BATH BUILDING BLOCK WORD'}),1
0.05522396085390117,frozenset({'ALARM CLOCK BAKELIKE RED'}),1
0.0519976340269936,frozenset({'ALARM CLOCK BAKELIKE GREEN'}),1
0.0475345485831048,frozenset({'SPACEBOY LUNCH BOX'}),1
0.045114803462924125,frozenset({'RED TOADSTOOL LED NIGHT LIGHT'}),1
0.04081303436038071,frozenset({'ALARM CLOCK BAKELIKE PINK'}),1
0.03887723826423617,frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND'}),1
0.0378555681023821,frozenset({'LUNCH BOX I LOVE LONDON'}),1
0.0319406355863849,frozenset({'VINTAGE HEADS AND TAILS CARD GAME'}),1
0.02860676453191375,frozenset({'SET 2 TEA TOWELS I LOVE LONDON'}),1
0.02215411087809862,frozenset({'CHARLOTTE BAG DOLLY GIRL DESIGN'}),1
0.02086358014733559,frozenset({'SET/2 RED RETROSPOT TEA TOWELS'}),1
0.020756035919772008,frozenset({'CIRCUS PARADE LUNCH BOX'}),1
0.019734365757917944,frozenset({'MINI PAINT SET VINTAGE'}),1
0.06146152605258913,"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS""})",1
0.0587191482497177,frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),1
0.051513685002957464,frozenset({'WOODEN FRAME ANTIQUE WHITE'}),1
0.0289831693283863,frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH'}),1
0.021347529171371726,frozenset({'WOOD S/3 CABINET ANT WHITE FINISH'}),1
0.01871269559606388,frozenset({'SAVE THE PLANET MUG'}),1
0.016776899499919343,frozenset({'EDWARDIAN PARASOL RED'}),1
0.010593106415013175,frozenset({'VINTAGE BILLBOARD LOVE/HATE MUG'}),1
0.03876969403667258,frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),1
0.03403774802387482,frozenset({'HOT WATER BOTTLE TEA AND SYMPATHY'}),1
0.08286282733774265,frozenset({'LUNCH BAG RED RETROSPOT'}),1
0.06877453352691294,frozenset({'PACK OF 72 RETROSPOT CAKE CASES'}),1
0.06511802978975104,frozenset({'JUMBO BAG PINK POLKADOT'}),1
0.06334355003495187,frozenset({'JUMBO STORAGE BAG SUKI'}),1
0.04973920524815831,frozenset({'JUMBO  BAG BAROQUE BLACK WHITE'}),1
0.04592138516965102,frozenset({'JUMBO BAG PINK VINTAGE PAISLEY'}),1
0.04522234769048771,frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),1
0.04291014679787063,frozenset({'60 TEATIME FAIRY CAKE CASES'}),1
0.03850083346776362,frozenset({'STRAWBERRY CHARLOTTE BAG'}),1
0.031241598107221595,frozenset({'PACK OF 60 DINOSAUR CAKE CASES'}),1
0.030488788514276496,frozenset({'STRAWBERRY LUNCH BOX WITH CUTLERY'}),1
0.02780018282518686,frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),1
0.02586438672904232,frozenset({'LUNCH BOX WITH CUTLERY RETROSPOT'}),1
0.016131634134537828,frozenset({'JUMBO BAG CHARLIE AND LOLA TOYS'}),1
0.06000967898048072,frozenset({'JAM MAKING SET PRINTED'}),1
0.06269828466957036,frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'}),1
0.05038447061353982,frozenset({'RETROSPOT TEA SET CERAMIC 11 PC'}),1
0.040006452653653816,frozenset({'GIN + TONIC DIET METAL SIGN'}),1
0.037640479647254935,frozenset({'COOK WITH WINE METAL SIGN'}),1
