antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_len,consequent_len,antecedents_str,consequents_str
"frozenset({'REGENCY MILK JUG PINK', 'REGENCY TEA PLATE GREEN'})","frozenset({'REGENCY TEA PLATE PINK', 'REGENCY SUGAR BOWL GREEN'})",0.006775286336505888,0.006721514222724095,0.005215895036833898,0.7698412698412698,114.53390476190476,1.0,0.005170354853360045,4.315623765790922,0.9980309060678567,0.6298701298701298,0.7682837860133226,0.7729206349206349,2,2,"REGENCY MILK JUG PINK, REGENCY TEA PLATE GREEN","REGENCY TEA PLATE PINK, REGENCY SUGAR BOWL GREEN"
"frozenset({'REGENCY TEA PLATE PINK', 'REGENCY SUGAR BOWL GREEN'})","frozenset({'REGENCY MILK JUG PINK', 'REGENCY TEA PLATE GREEN'})",0.006721514222724095,0.006775286336505888,0.005215895036833898,0.776,114.53390476190476,1.0,0.005170354853360045,4.434038900283456,0.9979768766770993,0.6298701298701298,0.7744719831086568,0.7729206349206349,2,2,"REGENCY TEA PLATE PINK, REGENCY SUGAR BOWL GREEN","REGENCY MILK JUG PINK, REGENCY TEA PLATE GREEN"
"frozenset({'REGENCY TEA PLATE GREEN', 'REGENCY SUGAR BOWL GREEN', 'REGENCY TEA PLATE ROSES'})","frozenset({'REGENCY TEA PLATE PINK', 'REGENCY TEAPOT ROSES'})",0.0070979190191966446,0.006398881540033339,0.005162122923052105,0.7272727272727273,113.65622612681436,1.0,0.005116704180067516,3.643204101019878,0.9982873002978608,0.6193548387096774,0.7255163388402917,0.7669977081741788,3,2,"REGENCY TEA PLATE GREEN, REGENCY SUGAR BOWL GREEN, REGENCY TEA PLATE ROSES","REGENCY TEA PLATE PINK, REGENCY TEAPOT ROSES"
"frozenset({'REGENCY TEA PLATE PINK', 'REGENCY TEAPOT ROSES'})","frozenset({'REGENCY TEA PLATE GREEN', 'REGENCY SUGAR BOWL GREEN', 'REGENCY TEA PLATE ROSES'})",0.006398881540033339,0.0070979190191966446,0.005162122923052105,0.8067226890756303,113.65622612681436,1.0,0.005116704180067516,5.137189027683287,0.997584965905401,0.6193548387096774,0.8053410153663415,0.7669977081741788,2,3,"REGENCY TEA PLATE PINK, REGENCY TEAPOT ROSES","REGENCY TEA PLATE GREEN, REGENCY SUGAR BOWL GREEN, REGENCY TEA PLATE ROSES"
"frozenset({'REGENCY TEA PLATE PINK', 'REGENCY TEAPOT ROSES', 'REGENCY TEA PLATE ROSES'})","frozenset({'REGENCY TEA PLATE GREEN', 'REGENCY SUGAR BOWL GREEN'})",0.005861160402215411,0.007958272839705328,0.005162122923052105,0.8807339449541285,110.66898090751303,1.0,0.005115478209413998,8.317888327728628,0.9968064870907256,0.5962732919254659,0.8797771789425946,0.7646912968013886,3,2,"REGENCY TEA PLATE PINK, REGENCY TEAPOT ROSES, REGENCY TEA PLATE ROSES","REGENCY TEA PLATE GREEN, REGENCY SUGAR BOWL GREEN"
"frozenset({'REGENCY TEA PLATE GREEN', 'REGENCY SUGAR BOWL GREEN'})","frozenset({'REGENCY TEA PLATE PINK', 'REGENCY TEAPOT ROSES', 'REGENCY TEA PLATE ROSES'})",0.007958272839705328,0.005861160402215411,0.005162122923052105,0.6486486486486487,110.66898090751303,1.0,0.005115478209413998,2.8294720819321566,0.9989136719244042,0.5962732919254659,0.6465771808156058,0.7646912968013886,2,3,"REGENCY TEA PLATE GREEN, REGENCY SUGAR BOWL GREEN","REGENCY TEA PLATE PINK, REGENCY TEAPOT ROSES, REGENCY TEA PLATE ROSES"
"frozenset({'REGENCY TEA PLATE GREEN', 'REGENCY TEA PLATE ROSES', 'REGENCY TEAPOT ROSES'})","frozenset({'REGENCY TEA PLATE PINK', 'REGENCY SUGAR BOWL GREEN'})",0.0070979190191966446,0.006721514222724095,0.005162122923052105,0.7272727272727273,108.20072727272728,1.0,0.005114414159412831,3.642021114516679,0.9978405090712159,0.5962732919254659,0.7254271821725266,0.7476363636363637,3,2,"REGENCY TEA PLATE GREEN, REGENCY TEA PLATE ROSES, REGENCY TEAPOT ROSES","REGENCY TEA PLATE PINK, REGENCY SUGAR BOWL GREEN"
"frozenset({'REGENCY TEA PLATE PINK', 'REGENCY SUGAR BOWL GREEN'})","frozenset({'REGENCY TEA PLATE GREEN', 'REGENCY TEA PLATE ROSES', 'REGENCY TEAPOT ROSES'})",0.006721514222724095,0.0070979190191966446,0.005162122923052105,0.768,108.20072727272728,1.0,0.005114414159412831,4.279750349055187,0.9974623754872239,0.5962732919254659,0.7663415109666938,0.7476363636363637,2,3,"REGENCY TEA PLATE PINK, REGENCY SUGAR BOWL GREEN","REGENCY TEA PLATE GREEN, REGENCY TEA PLATE ROSES, REGENCY TEAPOT ROSES"
"frozenset({'REGENCY TEA PLATE PINK', 'REGENCY SUGAR BOWL GREEN', 'REGENCY TEA PLATE ROSES'})","frozenset({'REGENCY TEA PLATE GREEN', 'REGENCY TEAPOT ROSES'})",0.006291337312469753,0.007743184384578158,0.005162122923052105,0.8205128205128205,105.96581196581197,1.0,0.0051134079382160755,5.528287972714493,0.9968344155844157,0.5818181818181819,0.8191121727132131,0.7435897435897436,3,2,"REGENCY TEA PLATE PINK, REGENCY SUGAR BOWL GREEN, REGENCY TEA PLATE ROSES","REGENCY TEA PLATE GREEN, REGENCY TEAPOT ROSES"
"frozenset({'REGENCY TEA PLATE GREEN', 'REGENCY TEAPOT ROSES'})","frozenset({'REGENCY TEA PLATE PINK', 'REGENCY SUGAR BOWL GREEN', 'REGENCY TEA PLATE ROSES'})",0.007743184384578158,0.006291337312469753,0.005162122923052105,0.6666666666666666,105.96581196581195,1.0,0.0051134079382160755,2.9811259880625904,0.9982929604942287,0.5818181818181819,0.664556277056277,0.7435897435897436,2,3,"REGENCY TEA PLATE GREEN, REGENCY TEAPOT ROSES","REGENCY TEA PLATE PINK, REGENCY SUGAR BOWL GREEN, REGENCY TEA PLATE ROSES"
