antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_len,consequent_len,antecedents_str,consequents_str
frozenset({'JUMBO BAG PINK POLKADOT'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.06511802978975104,0.11082432650427489,0.044039361187288274,0.6763005780346821,6.102456016356615,1.0,0.03682269939255381,2.7469177056207226,0.8943712447681159,0.3338768854463921,0.6359556029094693,0.5368402453492188,1,1,JUMBO BAG PINK POLKADOT,JUMBO BAG RED RETROSPOT
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO BAG PINK POLKADOT'}),0.11082432650427489,0.06511802978975104,0.044039361187288274,0.39737991266375544,6.102456016356614,1.0,0.03682269939255381,1.5513621099865724,0.9403446094302408,0.3338768854463921,0.35540516713492804,0.5368402453492188,1,1,JUMBO BAG RED RETROSPOT,JUMBO BAG PINK POLKADOT
frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.054417379147174275,0.05232026670968436,0.039253643060708714,0.7213438735177865,13.787083263936562,1.0,0.03640651127008654,3.4008932272687917,0.9808432622759902,0.5816733067729084,0.7059596014417996,0.7358004054125418,1,1,ROSES REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),0.05232026670968436,0.054417379147174275,0.039253643060708714,0.7502569373072969,13.787083263936562,1.0,0.03640651127008654,3.7862217699168688,0.9786727625467141,0.5816733067729084,0.7358844619336822,0.7358004054125418,1,1,GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER
frozenset({'JUMBO STORAGE BAG SUKI'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.06334355003495187,0.11082432650427489,0.03876969403667258,0.6120543293718167,5.5227435047684015,1.0,0.0317496877656592,2.292010817019616,0.8743126397841119,0.28633836378077837,0.5637018845747264,0.4809422544481597,1,1,JUMBO STORAGE BAG SUKI,JUMBO BAG RED RETROSPOT
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO STORAGE BAG SUKI'}),0.11082432650427489,0.06334355003495187,0.03876969403667258,0.3498301795245027,5.5227435047684015,1.0,0.0317496877656592,1.4406335398343018,0.9209997503870007,0.28633836378077837,0.30586094773621775,0.4809422544481597,1,1,JUMBO BAG RED RETROSPOT,JUMBO STORAGE BAG SUKI
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'}),0.11082432650427489,0.06269828466957036,0.03634994891649191,0.3279961183891315,5.231341178115504,1.0,0.029401453745013472,1.3947861626686033,0.9096564998582974,0.2649941199529596,0.28304422085265785,0.4538779905839311,1,1,JUMBO BAG RED RETROSPOT,JUMBO SHOPPER VINTAGE RED PAISLEY
frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.06269828466957036,0.11082432650427489,0.03634994891649191,0.5797598627787307,5.231341178115504,1.0,0.029401453745013472,2.115875174073501,0.8629499100256328,0.2649941199529596,0.5273823275336269,0.4538779905839311,1,1,JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO BAG RED RETROSPOT
frozenset({'ALARM CLOCK BAKELIKE RED'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.05522396085390117,0.0519976340269936,0.03403774802387482,0.6163583252190847,11.853584047672511,1.0,0.031166232717872645,2.471062004706288,0.9691580776869951,0.46509919177075676,0.595315699041368,0.6354800933230894,1,1,ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE GREEN
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED'}),0.0519976340269936,0.05522396085390117,0.03403774802387482,0.6546018614270941,11.853584047672511,1.0,0.031166232717872645,2.735324640282268,0.9658597518412086,0.46509919177075676,0.6344126816710113,0.6354800933230894,1,1,ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.06775286336505888,0.08286282733774265,0.03398397591009303,0.5015873015873016,6.053224560427675,1.0,0.028369782091436486,1.8401159833669494,0.8954694101953605,0.2913785154449055,0.4565559948181899,0.45585529907398825,1,1,LUNCH BAG  BLACK SKULL.,LUNCH BAG RED RETROSPOT
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.08286282733774265,0.06775286336505888,0.03398397591009303,0.41012329656067487,6.053224560427675,1.0,0.028369782091436486,1.5804101623261213,0.9102223947324674,0.2913785154449055,0.3672528664785644,0.45585529907398825,1,1,LUNCH BAG RED RETROSPOT,LUNCH BAG  BLACK SKULL.
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.03952250362961768,0.05232026670968436,0.03247835672420283,0.8217687074829932,15.70650837930239,1.0,0.030410528793266764,5.317134381438032,0.9748610761978701,0.5471014492753624,0.8119287706003873,0.7212646209562963,1,1,PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.05232026670968436,0.03952250362961768,0.03247835672420283,0.6207605344295992,15.706508379302392,1.0,0.030410528793266764,2.532641203166347,0.9880259046213321,0.5471014492753624,0.6051552826552041,0.7212646209562963,1,1,GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER
frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.057697478087863636,0.08286282733774265,0.03188686347260311,0.5526561043802424,6.669529898221523,1.0,0.02710588730798528,2.0501837213887546,0.9021141037894358,0.293419099455715,0.5122388351993062,0.468735579769615,1,1,LUNCH BAG PINK POLKADOT,LUNCH BAG RED RETROSPOT
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.08286282733774265,0.057697478087863636,0.03188686347260311,0.3848150551589877,6.669529898221523,1.0,0.02710588730798528,1.5317385931082304,0.926867234686097,0.293419099455715,0.34714708860943244,0.468735579769615,1,1,LUNCH BAG RED RETROSPOT,LUNCH BAG PINK POLKADOT
frozenset({'JUMBO  BAG BAROQUE BLACK WHITE'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.04973920524815831,0.11082432650427489,0.0311878259934398,0.627027027027027,5.6578464927809895,1.0,0.02567551207095476,2.3840217332856395,0.8663456510201214,0.24106400665004152,0.580540736672812,0.45422190749701663,1,1,JUMBO  BAG BAROQUE BLACK WHITE,JUMBO BAG RED RETROSPOT
